"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","startPosition","endPosition","group"
"Angela Addison",3,1,0,1,1,0,0,0,0,0,1,18.1113713333333,2,0,1,3,0,0,0,0,0,83.0666666666667,18.9,84.2333333333333,36.9666666666667,44.25948406291,36.061279164282,"10"
"Anne-Marie Heatherson",6,1,1,1,0,0,2,1,0,1,0,16.0244960833333,3,1,2,1,1,4,0,0,0,92.6666666666667,48.3333333333333,98.5,47.5,35.1190549989521,27.2750502402309,"10"
"Carla Humphrey",14,1,3,5,2,0,1,2,0,1,0,30.2555349357143,5,8,1,11,0,3,0,0,0,81.7214285714286,38.9285714285714,98.1714285714286,42.9642857142857,47.7913502049386,25.0299860872278,"20"
"Chantelle Boye-Hlorkah",19,1,4,9,3,1,0,2,0,0,0,24.3816801210526,7,9,3,15,0,3,1,0,0,95.5684210526316,52.0526315789474,102.805263157895,44.0736842105263,38.3757328019471,21.2253622690652,"20"
"Charlotte Estcourt",3,1,1,1,0,0,0,0,0,1,0,19.1584156666667,3,0,0,2,0,1,0,0,0,88,28.6666666666667,102.333333333333,35.6666666666667,40.9470603502481,22.9012325490537,"10"
"Chloe Kelly",34,1,6,10,3,0,2,11,0,1,1,32.9450565441176,10,21,3,25,1,7,1,0,0,102.611764705882,40.0911764705882,107.961764705882,39.9705882352941,37.1261025371336,15.4704756087076,"40"
"Christie Murray",17,1,0,4,3,0,1,8,0,1,0,31.1969743235294,7,9,1,16,0,1,0,0,0,99.6941176470588,36.7882352941176,102.788235294118,39.4,39.3475770242509,20.1577170564695,"20"
"Claudia Walker",15,1,3,6,4,0,2,0,0,0,0,21.6045333466667,10,4,1,12,0,3,0,0,0,91.86,50.84,96.52,47.06,38.6926766111154,28.522756262011,"20"
"Connie Scofield",4,1,2,1,1,0,0,0,0,0,0,9.648647375,3,0,1,2,0,2,0,0,0,92.75,41.5,96,39.25,29.1768650126248,26.2585342863051,"10"
"Danielle Buet",26,1,5,7,3,0,1,9,1,0,0,33.3149107307692,9,16,1,23,0,3,0,0,0,89.9115384615385,53.8230769230769,99.9884615384615,42.4961538461538,48.3498866525498,22.6106139627454,"30"
"Danielle Turner",17,1,5,6,2,0,2,1,0,1,0,30.6175186470588,7,7,3,1,0,15,1,0,0,80.9235294117647,22.1411764705882,100.5,26.5294117647059,50.6735118915362,26.031294032,"20"
"Danique Kerkdijk",5,1,0,2,0,0,1,1,1,0,0,47.08025552,0,4,1,4,1,0,0,0,0,55.02,60.22,94.8,40.94,68.8488524809747,30.4357071479088,"10"
"Dominique Bruinenberg",8,1,3,3,1,0,1,0,0,0,0,24.692393875,8,0,0,7,0,1,0,0,0,74,42.5,85.125,29.625,49.1951194551497,38.5139158912448,"10"
"Ebony Salmon",5,1,3,2,0,0,0,0,0,0,0,17.8600428,3,1,1,4,0,1,0,0,0,101.26,24.44,97.24,26.78,32.6183898922215,26.579070231298,"10"
"Ella Rutherford",14,1,2,4,6,1,1,0,0,0,0,26.9549483357143,5,8,1,2,0,11,1,0,0,91,38.4285714285714,104.785714285714,37.0714285714286,38.1984908844496,17.2758608264083,"20"
